(1,'47 MySakila Drive',NULL,'Alberta',300,DEFAULT,DEFAULT,'2014-09-25 22:30:27'),
(2,'28 MySQL Boulevard',NULL,'QLD',576,DEFAULT,DEFAULT,'2014-09-25 22:30:09'),
(3,'23 Workhaven Lane',NULL,'Alberta',300,DEFAULT,14033335568,'2014-09-25 22:30:27'),
(4,'1411 Lillydale Drive',NULL,'QLD',576,DEFAULT,6172235589,'2014-09-25 22:30:09'),
(5,'1913 Hanoi Way',DEFAULT,'Nagasaki',463,35200,28303384290,'2014-09-25 22:31:53'),
(6,'1121 Loja Avenue',DEFAULT,'California',449,17886,838635286649,'2014-09-25 22:34:01'),
(7,'692 Joliet Street',DEFAULT,'Attika',38,83579,448477190408,'2014-09-25 22:31:07'),
(8,'1566 Inegl Manor',DEFAULT,'Mandalay',349,53561,705814003527,'2014-09-25 22:32:18'),
(9,'53 Idfu Parkway',DEFAULT,'Nantou',361,42399,10655648674,'2014-09-25 22:33:16'),
(10,'1795 Santiago de Compostela Way',DEFAULT,'Texas',295,18743,860452626434,'2014-09-25 22:33:55'),
(11,'900 Santiago de Compostela Parkway',DEFAULT,'Central Serbia',280,93896,716571220373,'2014-09-25 22:34:11'),
(12,'478 Joliet Way',DEFAULT,'Hamilton',200,77948,657282285970,'2014-09-25 22:32:22'),
(13,'613 Korolev Drive',DEFAULT,'Masqat',329,45844,380657522649,'2014-09-25 22:32:29'),
(14,'1531 Sal Drive',DEFAULT,'Esfahan',162,53628,648856936185,'2014-09-25 22:31:36'),
(15,'1542 Tarlac Parkway',DEFAULT,'Kanagawa',440,1027,635297277345,'2014-09-25 22:31:53'),
(16,'808 Bhopal Manor',DEFAULT,'Haryana',582,10672,465887807014,'2014-09-25 22:31:30'),
(17,'270 Amroha Parkway',DEFAULT,'Osmaniye',384,29610,695479687538,'2014-09-25 22:33:27'),
(18,'770 Bydgoszcz Avenue',DEFAULT,'California',120,16266,517338314235,'2014-09-25 22:33:47'),
(19,'419 Iligan Lane',DEFAULT,'Madhya Pradesh',76,72878,990911107354,'2014-09-25 22:31:13'),
(20,'360 Toulouse Parkway',DEFAULT,'England',495,54308,949312333307,'2014-09-25 22:33:40'),
(21,'270 Toulon Boulevard',DEFAULT,'Kalmykia',156,81766,407752414682,'2014-09-25 22:32:48'),
(22,'320 Brest Avenue',DEFAULT,'Kaduna',252,43331,747791594069,'2014-09-25 22:32:25'),
(23,'1417 Lancaster Avenue',DEFAULT,'Northern Cape',267,72192,272572357893,'2014-09-25 22:33:03'),
(24,'1688 Okara Way',DEFAULT,'Nothwest Border Prov',327,21954,144453869132,'2014-09-25 22:32:30'),
(25,'262 A Corua (La Corua), Parkway',DEFAULT,'Dhaka',525,34418,892775750063,'2014-09-25 22:30:12'),
(26,'28 Charlotte Amalie Street',DEFAULT,'Rabat-Sal-Zammour-Z',443,37551,161968374323,'2014-09-25 22:32:16'),
(27,'1780 Hino Boulevard',DEFAULT,'Liepaja',303,7716,902731229323,'2014-09-25 22:31:58'),
(28,'96 Tafuna Way',DEFAULT,'Crdoba',128,99865,934730187245,'2014-09-25 22:30:05'),
(29,'934 San Felipe de Puerto Plata Street',DEFAULT,'Sind',472,99780,196495945706,'2014-09-25 22:32:31'),
(30,'18 Duisburg Boulevard',DEFAULT,'DEFAULT',121,58327,998009777982,'2014-09-25 22:31:08'),
(31,'217 Botshabelo Place',DEFAULT,'Southern Mindanao',138,49521,665356572025,'2014-09-25 22:32:36'),
(32,'1425 Shikarpur Manor',DEFAULT,'Bihar',346,65599,678220867005,'2014-09-25 22:31:20'),
(33,'786 Aurora Avenue',DEFAULT,'Yamaguchi',474,65750,18461860151,'2014-09-25 22:31:53'),
(34,'1668 Anpolis Street',DEFAULT,'Taipei',316,50199,525255540978,'2014-09-25 22:33:15'),
(35,'33 Gorontalo Way',DEFAULT,'West Bengali',257,30348,745994947458,'2014-09-25 22:31:18'),
(36,'176 Mandaluyong Place',DEFAULT,'Uttar Pradesh',239,65213,627705991774,'2014-09-25 22:31:17'),
(37,'127 Purnea (Purnia), Manor',DEFAULT,'Piemonte',17,79388,911872220378,'2014-09-25 22:31:42'),
(38,'61 Tama Street',DEFAULT,'Okayama',284,94065,708403338270,'2014-09-25 22:31:49'),
